Nie bój się!	Niy bōj sie!
Roszpunka zaś spuściła włosy i czarownica wspięła się po nich do okienka.	Tedy Repōnczka spuściyła warkocze, a czarownica spiōnła sie dō nij.
— Wielu nie może się tam dostać, a wielu wolałoby raczej umrzeć, niż tam się znaleźć — zauważył jałmużnik.	– Wielu niy może tam iść, a wielu by radszyj umrziło.
Gdyby wszystkie owe kafle kominka były zupełnie czyste i gdyby posiadały własność pokrywania swej gładkiej powierzchni obrazami bezładnych myśl Scrooge'a, wówczas na każdym z nich zjawiłaby się podobizna twarzy zmarłego Marleya.	Keby kożdŏ kachla bez ôbrŏzka mogła sama co poskłŏdać ze Scrooge’owych myśli, toby na nij była gowa ôd Marleya.
Starożytna wieża kościoła, z której gotyckiego okna ciekawie spoglądał wciąż na Scrooge'a stary rozbity dzwon, zniknęła i ów dzwon wybijał godziny oraz kwadranse wśród mgły z tak silnymi wibracjami, jak gdyby mu zęby szczękały z zimna.	Starowiecznŏ kościelnŏ wieża, ôd keryj charczōncy, stary zwōn dycki dziwoł sie na Scrooge’a ze gotyckich ôkyn we ścianie, zrobiyła sie niywidzialnŏ, a biyła godziny i sztwierci ze wibracyjami, co niosły strach, choby szczyrkała zymbami kajsik tam na wiyrchu.
Małżonka Cratchita, w ubogiej, dwa razy już nicowanej sukni, przystrojonej bardzo tanimi wstążkami, ale — jak na sześć pensów — wyglądającymi wcale ładnie, stała właśnie na środku pokoju i nakrywała stół.	Wtynczŏs ôd niego ślubnŏ, pani Cratchitowŏ, stoła wysztiglowanŏ we biydnõ, dwa razy podwijanõ kecka ale bogatõ we stōnżki, co wyglōndajōm paradnie jak na szejś pynsōw.
Ale gdyby nawet odciął sobie brzytwą kawałek nosa, to i wówczas nie straciłby dobrego humoru; zalepiłby rankę plasterkiem gumowym i nie myślałby więcej o niej.	Ôn ale, choby i ôdetnōł sie kōniec nosa, to ino nalepiōłby na to plaster i by bōł zakōntynt.
— Pozostaje mi tylko dodać — odezwał się Fred, gdy mu minął paroksyzm śmiechu — że wuj, postąpiwszy z nami tak niegrzecznie i nieżyczliwie, nie przyjąwszy mego zaproszenia, sam się pozbawił pewnej dozy radości, która prawdopodobnie nie zaszkodziłaby mu.	– Doł nōm dzisiej moc śmiychu, na zicher – pedzioł Fred – i niy bylibymy ôdwdziynczni, kebymy niy wypiyli za niego.
Nie była ona otoczona, jak inne przedmioty na ulicy — nieprzeniknioną ciemnością, przeciwnie, otaczało ją słabe światło, które zdawało się z niej promieniować.	Niy było to we blank ćmie, jak inksze rzeczy we zygrodzie, ale nyndznym świetle, choby zepsuty hōmar we ciymnyj pywnicy.
Nagle Scrooge uczuł, że siły jego wyczerpują się i że owłada nim niepokonana senność.	Scrooge spuściōł gowã, jak usłyszoł ôd mŏry swoje włŏsne słowa i naszła go skrucha i żŏl.
Ale na co się to zdało!	Ale na co sie to zdało!
— Tym gorzej dla niego, Fredziu — z oburzeniem zauważyła jego żona.	– Gańba mu, Fred! – pedziała ôd niego żōna, zgorszōnŏ.
Nikogo pod stołem, nikogo pod sofą, mały ogień na kominku, na stole talerz i łyżka, mały rondelek z kleikiem (Scrooge dostał z przeziębienia kataru) na maszynce kuchennej.	Tyglik ze papinkōm (Scrooge bōł trochã chory) na kachlŏku.
Doskonale! — zawołał stary Fezziwig, zeskakując z wysokiego stołka z podziwu godną zwinnością. — Pouprzątać, chłopcy, z pokoju rzeczy zbyteczne, żebyśmy mieli sporo miejsca!	– No! – krziknōł stary Fezziwig, jak skoczōł zza szrajbtisza zwyrtnij aniżeli szło ôd niego ôczekować. – A terŏz skludźcie sam, chopcy, zrōbcie trochã placu.
— Co?! — zawołał Duch. — Chcesz występnymi swymi rękoma jak najprędzej zagasić dobroczynne światło, które ci przynoszę?	– Co to! – krziknōł duch – Już chcesz zagasić światło, co przinoszã?
— Nie wiem.	– Niy.
Chciał coś powiedzieć, lecz ona, odwróciwszy się od niego, ciągnęła dalej:	Chcioł coś pedzieć, ale ôna zaczła dalij, chociŏż spoziyrała w drugõ strōnã.
Hej!	Halo!
— Znieść na dół rzeczy pana Scrooge'a!	– Prziniyście sam kofer ôd panŏczka Scrooge’a! – I pokŏzoł sie w nim sōm dyrechtōr.
Matka oczekiwała kogoś z wielkim niepokojem; chodziła od okna do okna, wzdrygała się przy najmniejszym szeleście, wyglądała na ulicę, spoglądała na zegar ścienny, próbowała na próżno zająć się robotą i widocznie z trudnością znosiła krzyki rozbawionych dzieci.	Czekała na kogoś we nerwach, bo łaziyła tam i nazŏd, skŏkała przi kożdym klangu, wyglōndała bez ôkno, kukała na zygŏr, prōbowała sztrykować, ale niy poradziyła i ledwo mogła ściyrpieć głosy bajtli, co sie bawiyły.
Na kominku w pobliżu Scrooge'a tlał bardzo skromny ogień; ale w izdebce pomocnika żarzył się omdlewająco jeden tylko węgielek.	Scrooge mioł u siebie ino malućki ôgnik, ale ôgyń u pisŏrza bōł taki mały, iże wyglōndoł choby jedyn kamyń wōnglŏ.
— Jak myślisz? — zapytał mąż. — Kto teraz przejmie nasz dług?	– Co ci je? – spytała mŏra.
— Duchu przyszłości — zawołał wreszcie — napełniasz mnie takim przerażeniem, jakiego nie doznawałem wobec twoich poprzedników.	– Duchu Prziszłości! – krziknōł – Bojã sie ciebie barzij aniżeli wszyjskich mŏr, co żech przōdzij widzioł.
— Będę żył, pamiętając o przeszłości, teraźniejszości i przyszłości! — przyrzekał sobie, wstając. — Duchy trzech czasów pokonały mnie zupełnie.	– Bydã żōł we przeszłości, terŏźniyjszości i prziszłości! – powtŏrzoł Scrooge, jak wygramuloł sie z betōw. – Wszyjske trzi duchy bydōm mie kludzić.
Scrooge spożył bardzo skromny obiad w posępnej garkuchni, do której stale uczęszczał, a przeczytawszy wszystkie znajdujące się tam dzienniki i urozmaiciwszy sobie resztę wieczoru przejrzeniem swych notatek handlowych, udał się do domu.	Scrooge powieczerzoł we tym samym mankulijnym szynku, co dycki, a jak przeczytoł wszyjske cajtōngi i zabiōł resztã czasu nad swojōm bankerskōm ksiōnżkōm, to poszoł do dōm spać.
Pomocnik, odprowadziwszy do drzwi siostrzeńca Scrooge'a, wpuścił jakichś dwóch jegomościów.	Tyn gupielŏk, jak wypuściōł siostrzyńca ôd Scrooge’a, to wpuściōł jakich dwōch inkszych ludzi.
Żeby mu przynajmniej pozwolili choć raz w rękę wziąć coś takiego!… Gdzie tam!	Żeby mu aby przizwolyli chocioż roz do rynki weznōńć take coś!… Kaj tam!
Dwoje małych Cratchitów roześmiało się serdecznie na myśl, że będą widzieli Piotra już jako człowieka pracy.	Dwa małe Cratchity lachały sie jak waryjaty na myśl ô Pyjtrze-gyszefciŏrzu, a ôn sōm dziwoł sie w ôgyń, choby miarkowoł, w co zainwestować, jak bydzie mioł w rynce takõ szalōnõ sumã.
Scrooge słyszał je wyraźnie.	Kaj Scrooge słyszoł te słowa?
Mgła i szron osnuły czarną bramę tak szczelnie, iż zdawało się, jakoby duch smutku siedział na jej progu w ciężkiej zadumie.	Mgła i zima tak przilepiyły sie do dźwiyrzi, iże zdŏwało sie, co duch czasu siŏd sie na progu i medykowoł.
Kumy, co się były zebrały przy tapczanie położnicy, kręciły głowami i nad matką, i nad dzieckiem.	Sōmsiadki, co sie były zebrały przi szezlōngu ôd położnice, kryńciyły gowami i nad matkōm, i nad dziyciym.
*Ebenezer Scrooge*	Za ujka Scrooge’a!
Chciałby przynajmniej raz mieć je w ręku, przynajmniej przypatrzeć się im bliżej… Biedne małe chłopskie serce drżało na tę myśl ze szczęścia.	Chcioł by aby roz mieć je w rynce, aby wejzdrzeć sie na nie bliżyj… Biydne małe bauerske serce dyrgało na ta myśl ôd szczyńścio.
— A to co? — burknął Scrooge, starając się swemu głosowi nadać ton jak najbardziej surowy. — Jak można tak się opóźniać?	– A co to? – pedzioł Scrooge zimno a gorzko jak dycki – Czego ôdy mie chcesz?
Z każdym Bożym Narodzeniem jesteś o rok starszy, lecz ani o włos bogatszy.	Czas, jak widzisz, żeś je ô rok starszy, ale ani trochã bogatszy!
Wspieram instytucje, o których wspomniałem; kosztują mnie one dosyć; tam niech więc udadzą się ci, którym nie jest dobrze we własnych domach.	Jŏ dŏwōm na te instytucyje, co my ô nich prawie gŏdali; ône kosztujōm za tela, a ci, co im richtich niy stykŏ, muszōm iść tam.
— Ciekawa rzecz, co zrobił z pieniędzmi? — zapytał jegomość z silnie purpurową twarzą i naroślą tłuszczu na końcu nosa, przypominającą korale indyka.	– A co ôn zrobiōł ze swojim geldym? – spytoł panŏczek z czerwōnōm twarzōm i chrostōm na kōńcu nosa.
Cicha letnia błyskawica, przeleciawszy między wschodem i zachodem, oświeciła raz jeszcze wnętrze kredensu i Janka na czworakach przed skrzypcami z głową zadartą do góry.	Cichy latowy blic przelecioł miyndzy wschodym i zachodym, ôświyciōł jeszcze roz postrzodek kredynsu i Jōnka na sztyrech przed skrzipkōm z gowōm podniesiōnōm.
Scrooge leżał, dręczony niepewnością, dopóki zegar nie wybił trzech kwadransów.	Scrooge siedzioł ze ôtwartymi dźwiyrzami, coby widzieć, jak przidzie.
— Czy życie duchów jest tak krótkie?	– Mŏry tak krōtko żyjōm? – spytoł.
— Głupstwo! — mruknął Scrooge i machnąwszy ręką, zaczął się przechadzać po pokoju.	– Nōnsyns! – pedzioł Scrooge i zaczōn łazić po izbie.
— Nie.	– Niy.
Chociaż zaledwie przed chwilą opuścili gmach szkolny, mimo to znajdowali się już na ruchliwych ulicach Londynu, gdzie przechadzały się różne duchy, gdzie cienie wozów i powozów walczyły o miejsca dla siebie wśród zamieszania i zgiełku wielkiego miasta.	Chociŏż dopiyro wyszli ze szkoły, już byli we zaciźbiōnym mieście, kaj mijali ich tajymni ludzie, tak samo tajymne kolasy biyły sie ô plac, coby przejechać, a słychać było cołke larmo i tumult srogigo miasta.
Przy drzwiach zatrzymał się, aby złożyć życzenia pomocnikowi, który, choć zmarznięty do kości, okazał się cieplejszy od swego pryncypała, gdyż odpowiedział na życzenia uprzejmie i serdecznie.	Stanōł jeszcze przi dźwiyrzach, coby powinszować pisŏrzowi, co – chociŏż bōł blank umrożōny – bōł cieplyjszy aniżeli Scrooge i ôdpedzioł na winszowanie serdecznie.
— Widocznie nie wierzysz we mnie? — zagadnął duch po chwili.	– Niy wierzisz wy mie – dojzdrzoł.
Protokół pogrzebu podpisali: ksiądz, urzędnik, grabarz i właściciel zakładu pogrzebowego.	Papiōr po jego pogrzebie podpisoł kapelōn, urzyndnik, kopidoł i pogrzebnik.
Najzupełniej! — zapewniał Scrooge. — Ani pensa mniej.	– Sztwierć – pedzioł Scrooge.
Z założonymi w tył rękoma Scrooge szedł z wolna, patrząc na wszystkich z wesołym uśmiechem.	Scrooge siedzioł ze ôtwartymi dźwiyrzami, coby widzieć, jak przidzie.
— Widzisz tę wykałaczkę? — zapytał Scrooge, wciąż usiłując otrząsnąć się z gnębiącego go coraz silniej przerażenia oraz odwrócić od siebie choćby na chwilę lodowaty wzrok widma.	– Widzisz tyn sztocher? – pedzioł Scrooge, coby wrōcić do kōntrole i symnōńć ze siebie zdrok ôd mŏry.
Zdumienie obu sióstr było ogromne, lecz stało się jeszcze większe, gdy Kopciuszek wyciągnęła z kieszeni drugi mały pantofelek i włożyła go na swą drugą stopę.	Jeji dwie siostry były moc udziwiōne, a jeszcze barzij, kej Popieluszka wyciōngła z kabzi drugi pantofelek i wraziyła go na drugõ stopã.
— Tak, ja nim jestem!	– Już wiym!
Ty, biedak?	– Ftoś ty je?
Ale przecież chłopak nie do karczmy chodził, tylko pod karczmę.	Ale przeca karlus niy do kaczmy chodziōł, ino pod kaczma.
Wreszcie do pokoju weszła pani Cratchit, wzruszona, ale dumna i uśmiechnięta, niosąc przed sobą pudding, twardy i zbity jak kula działowa, oświecony promieniami zapalonego rumu, z świąteczną gałązką ostrokrzewu wetkniętą w sam środek.	Za pōł minuty Cratchitowŏ weszła – rozpŏlōnŏ ale ze szyrokim uśmiychym – ze pudingym twardym i sztajfnym choby flekowatŏ kula do kanōny, co goroł we ôgniku ze połowy kwŏrty brandy i bōł przistrojōny ôstrokrzewym na wiyrchu.
One zaś odpowiedziały, że imię tajemniczej księżniczki nie jest nikomu znane i że królewicz bardzo tego żałuje, i że dałby wszystko na świecie, aby dowiedzieć się, kim ona jest.	Spytała ô miano ôd tyj princesy, ale ône prawiyły, że go niy znajōm, a krōlōw syn je moc zeszterowany skuli tego i ôddoł by wszysko na świecie, żeby wiedzieć, fto ôna je.
— Jak mnie tu żywym widzicie, powiedział, że wigilia to głupstwo! — wołał siostrzeniec Scrooge'a. — Powiedział najwyraźniej i jestem przekonany, że rzeczywiście tak myśli.	– To je nōnsyns tak by tak! – pedzioł Scrooge. – Niy uwierzã w to.
A była tak okrutna, że przeniosła Roszpunkę do pustelni, gdzie musiała wieść życie pełne bólu i udręki.	A była tak niymiyłosiernŏ, iże wziōnła biydnõ Repōnczkã na puszczã, kaj ôna musiała żyć we wielkij nyndzy i misterności.
— W domu, panie.	– Niy, duchu!
— A tam papuga! — prowadził swoje wspomnienia Scrooge. — Zielona, z żółtym ogonem, z czubem wyrastającym z głowy, podobnym do liści sałaty!	– A tam papagaj! – krziknōł Scrooge. – Cołki zielōny a żōłty na ôgōnie i choby szałŏt na gowie; tam je!
Dzieciaczyna chudł coraz bardziej, brzuch tylko zawsze miał duży, czuprynę coraz gęstszą i oczy coraz szerzej otwarte, choć najczęściej łzami zalane, ale policzki i piersi wpadały mu coraz głębiej i głębiej…	Dzieciōntko chud coroz barzij, brzuch ino dycki mioł srogi, szopa coroz gynstszo i ôczy coroz szyrzyj ôtwarte, choć nojczyńścij płaczkami zalōne, ale lica i piersi wpadały mu coroz głymbij i głymbij…
Wiwat!…	Uf!
— Cóż znowu za głupstwa?! — mruknął Scrooge.	– A czymuś sie ôżyniōł? – pedzioł Scrooge.
Siostry wezwały Kopciuszka, aby zapytać ją o radę, gdyż wiedziano, że dziewczyna ma doskonały gust.	Zawołały Popieluszkã, żeby im dała dorady, bo miała dobry gust.
— Jakim sposobem staję przed tobą w postaci widocznej, którą możesz rozpoznać, tego nie wolno mi powiedzieć.	– Jak to je, iże możesz mie dzisiej widzieć, to jŏ niy wiym.
— Uprowadź mnie stąd! — wołał Scrooge. — Nie mogę znieść tego widowiska!	– Weź mie! – krziknōł Scrooge. – Niy strzimiã tego!
Czary, wyraźne czary!	zicher czary!
I w niewypowiedzianej radości tańczyły te rozbawione dzieciaki dokoła stołu, podnosząc pana Piotra Crachita pod niebiosa, podczas gdy on (wcale nie dumny, chociaż kołnierzyk prawie go dusił) dmuchał w ogień tak, że ziemniaki gotujące się w garnku pukały o pokrywę, jakby błagały, aby je wypuszczono i obrano z łupiny.	I grzoły sie myślami ô zelwiji i cebuli, tańcowały naôbkoło stoła te mode Cratchity, a chwŏlyły Pyjtra do nieba, jak ôn (niy fest dumny, chociŏż kragel małowiela go niy udŏwiōł) dmuchoł w ôgyń, aż kartŏfle poleku wypłynyły i klupały w deklik, coby być wyciōngniynte i ôszkrobane.
— Weź go ta i daj mu na pamiątkę.	— Weź go tam i dej mu na pamiōntka.
Zdumienie zaś jego wzrosło do najwyższego stopnia, gdy poznał głos siostrzeńca i gdy znalazł się, nie wiadomo jakim sposobem, w jasnym, ciepłym i schludnym pokoju.	Jeszcze barzij udziwiyło go, jak sie spōmiarkowoł, iże to je śmiych ôd jego siostrzyńca, i że stoł terŏz we jasnyj, suchyj, czystyj izbie, a mŏra stoła kole niego ze uśmiychym i dziwała sie na siostrzyńca przijaźnie!
Ha, ha, ha!	Ha, ha!
— Jakież to bóstwo cię zastąpiło? — zapytał dawny Scrooge.	– Tyś je tyn duch, co mioł dō mie przijść? – spytoł Scrooge.
Zaproszono więc również obydwie panienki, gdyż rodzina ta była wielce poważana w całym kraju.	Nasze dwie paniczki tyż były zaproszōne, bo we kraju dowali na nie wielki pozōr.
— Zaczęli właśnie nową grę — prosił Scrooge. — Tylko pół godziny jeszcze, Duchu, tylko pół godziny, nie więcej!	– Nowy szpil sie zaczynŏ – pedzioł Scrooge. – Ino pōł godziny, duchu, ino pōł!
Po południu skierował się ku dzielnicy, w której mieszkał jego siostrzeniec.	Po połedniu poszoł do chałpy ôd swojigo siostrzyńca.
Siostrzeniec Scrooge'a miał o czymś pomyśleć, a reszta towarzystwa powinna była odgadnąć, co to takiego; na wszystkie pytania mógł odpowiadać: „tak” albo „nie”.	To bōł szpil, co sie mianowoł Ja i Niy, kaj siostrzyniec musioł ô czymś pōmyśleć, a inksi musieli sie przewiedzieć, co to je, przi czym na pytania, co stawiali, ôn mōg ino ôdpadać „ja” abo „niy”.
Weszła kucharka z przyjacielem swego brata, rozwozicielem mleka.	Weszła kucharka ze ôsobliwym kamratym ôd jij brata, mlyczŏrzym.
— Oczywiście — mówił Bob — nie mogłem ukryć tego przed nim.	– Ja, roztōmiyło – wrōciōł Bob. – Żŏl, żeś tyż niy poszła.
Oj!	Ach!
— Czy nie mogliby przyjść wszyscy ci goście razem, tak żebym się z nimi mógł prędzej załatwić? — szepnął Scrooge.	– Niy mogōm wszyjske trzi przijść społym, coby było warcij? – spytoł Scrooge.
— Nie inaczej! — potwierdził duch.	– Jeszcze jedno! – krziknōł duch.
— Ha, ha, ha! — śmiał się wciąż siostrzeniec Scrooge'a. — Ha, ha, ha!	– Ha, ha! – lachoł sie siostrzyniec ôd Scrooge’a. – Ha, ha, ha!
Obraz ten Scrooge znał doskonale, widywał go bardzo często.	Scrooge zrobiōł, co mu było padano i chyciōł sie mocno.
— Dziękuję wam — rzekł Bob. — Jestem wśród was bardzo, bardzo szczęśliwy!	– Żeś je dobrōm żōnōm – ôdpedzioł Bob.
— Nie pojmuję doprawdy, co się ze mną dzieje! — mówił, śmiejąc się i płacząc jednocześnie, przy czym wdziewał skarpetki na ręce, stając się podobny do statui Laokoona opasanego wężami. — Jestem lekki jak piórko; szczęśliwy jak anioł; wesoły jak student; oszołomiony jak pijak!	– Ani niy wiym, co robiã! – krziknōł Scrooge, a śmioł sie i płakoł przi tym samym dychu, a pōńczochami zrobiōł ze siebie istnego Lŏokōna. – Je żech leki choby piōrko, rŏd choby aniōł, ucieszōny choby szkolŏrz.
I tutaj nawet dwaj latarnicy rozpalili ogień, który rzucał jasny snop promieni na wyburzoną powierzchnię morza przez otwór w grubym murze latarni.	I sam tyż dwōch chopōw, co wachowali nad światłym, zrobiyli ôgyń, co bez ôkna słoł prōmiynie światła ku zburzōnymu morzu.
Pytano stojących przy bramie strażników, czy nie widzieli wychodzącej z pałacu księżniczki.	Spytano wachtyrzōw przi wrotach ôd pałacu, jeźli niy widzieli princesy wychodzić.
W końcu pulchna jego kuzynka, wpadłszy również w szał wesołości, zawołała:	W kōńcu tyngszŏ siostra, co tyż już sie skryncała, krzikła:
Pewnego razu — było to właśnie w wigilię Bożego Narodzenia — stary Scrooge siedział w swym kantorze przy pracy.	Rŏz – a ze wszyjskich dni w roku było to we Wilijõ – stary Scrooge siedzioł zajynty we swojim biōrze.
Wszyscy oni byli w doskonałych humorach i tak raźnie, tak ochoczo pokrzykiwali, że cała przestrzeń wypełniła się wesołą muzyką, a zdawało się, że powietrze wtórzyło jej radośnie.	Wszyjscy ci chopcy byli we szumnyj launie, a larmowali aż wielke pola były połne uciesznyj muzyki, choby luft sie ś niymi śmioł!
— Nie wierzę — odpowiedział Scrooge.	– Niy – ôdpedzioł Scrooge.
— Mądry chłopak! — szepnął do siebie Scrooge. — Inteligentny chłopak!	– Mōndry synek! – pedzioł Scrooge. – Szykowny synek!
Bob wesoło bawił się z nimi, dla każdego zresztą miał dobre słowo.	Bob bōł bardzo wesoły ś niymi i miyło gŏdoł ze cołkōm familijōm.
Miał tak sympatyczną minę, że trzech czy czterech jegomościów, już w dobrych humorach, zaczepiło go słowami:	Wyglōndoł tak miyło, iże trzech abo sztyrech karlusōw pedziało „Dziyń dobry!
— Szczura!	– Ô chopie!
— Masz rację — powiedziała matka chrzestna. — Idź i zobacz.	— Mŏsz recht — ôdpedziała jij pŏtka. — Idź i ôbŏcz.
— Boże Narodzenie? — szepnął Sorooge. — Więc go nie straciłem.	– Fest dŏwnych? – naciskoł Scrooge.
Gdy to mąż spostrzegł, przeraził się i zapytał:	Tedy jeji ślubny sie zeszterowoł i spytoł:
Jak Bóg dał!”.	Jak Bōg doł!”.
Pewnego wieczoru przemawiał do mnie tak łagodnie, że ośmieliłam się go zapytać jeszcze raz, czy byś mógł wrócić do domu.	Tak miyło dō mie gŏdoł jednyj nocy, kej żech szła spać, iżech niy bała sie spytać jeszcze rŏz, jeźli możesz wrōcić.
— Z okazji tak wielkiej uroczystości, panie Scrooge — mówił ów jegomość, nie zważając na to i ujmując pióro — ludzie zamożniejsi nie uchylają się od wsparcia nędzarzy i wydziedziczonych, którzy teraz właśnie, podczas silnych mrozów, na wielkie są narażeni cierpienia.	– We tyn radosny czas we roku, panie Scrooge – prawiōł chop i wziōn do rynki filŏk – chcymy sebrać przidajnōm pōmoc dlŏ biydnych, kierzi ciyrpiōm terŏźnie nejwiyncyj.
Trzeba było widzieć, jak się tłoczyli w drzwiach, uderzając jeden drugiego swymi koszykami i paczkami, zapominając na kontuarze część zakupów i szybko wracając po nie, popełniając tysiące pomyłek i przeoczeń z nadzwyczajną dobrodusznością — jednocześnie trzeba było podziwiać cierpliwość kupca i jego pomocników, ich uprzejmość, ich ugrzecznienie, z jakim się dziś starali zwracać do wszystkich.	To skirz tego, że ludzie tak sie uwijali, bo wiedzieli, co ich dzisiej czekŏ; że sie strzaskowali we dźwiyrzach koszami, ôstawiali sprŏwōnki na tŏflach i lŏtali nazŏd, coby je weznōńć, a robiyli setki takich felerōw we nojlepszyj możliwyj launie; a sklepiŏrz i ôd niego ludzie byli tacy szczyrzi, iże piernikowe serca, co ś niymi zwiōnzali zŏpaski ze zadku to mogły aji być ôd nich włŏsne, narychtowane do inspekcyje abo do wydziobaniŏ ôd kawek.
— Ależ nie, wcale nie żartuję — zapewniał Scrooge — mówię najzupełniej serio.	– Niy wiym – pedzioł Scrooge.
Wszędzie też je słyszał, a jak tylko trochę podrósł, tak już o niczym innym nie myślał.	Wszyńdzie tyż je słyszoł, a jak ino trocha podrōs, tak już ô niczym inkszym niy myśloł.
Łkał gwałtownie, a twarz jego zlewały obfite strumienie łez.	Bōł upłakany ze kōnfliktu z mŏrōm i jego gymba była mokrŏ ôd płaczek.
Weszła także służąca ze swym kuzynem, piekarzem.	Weszła kucharka ze ôsobliwym kamratym ôd jij brata, mlyczŏrzym.
Uszedł wprawdzie z życiem, ale spadł na ciernie, które wykłuły mu oczy.	Wyszoł ze życiym, ale sztachle, co w nie wpŏd, ône mu ôczy wybiyły.
Niebo było pochmurne i nawet najkrótsze ulice ginęły w gęstej mgle, której cięższe części spadały na ulice w postaci szronu.	Niebo było ciymne, a nojkrōtsze ulice załykały sie ôszkliwōm mgłōm, pōł roztopiōnōm, pōł umarzniyntōm, co ôd nij ciynżyjsze tajliki słaziyły choby dyszcz czadzy, choby wszyjske kōminy we Wielkij Brytaniji narŏz chyciyły ôgyń i wycharkowały to, co we postrzodku miały.
Żadnej odpowiedzi.	Nic niy wiym.
Nie tylko zwracał tam jeszcze uwagę zmieszany aromat kawy i herbaty, tak przyjemny dla powonienia; nie tylko stosy czerwonych, dużych rodzynków i śnieżnobiałych migdałów; nie tylko góry cynamonu i innych silnie pachnących korzeni; nie tylko owoce smażone w cukrze, których sam widok łaskotał podniebienie; nie tylko festony mięsistego i soczystego winogradu; nie tylko koszyki pełne skromnie zarumienionych śliwek francuskich: słowem, nie tylko wszystkie te przeróżne smaczne rzeczy przedstawiane w najponętniejszych postaciach…	Niy ino skuli wŏg, co wydŏwały ucieszny klang na tŏflach, sznōrkōw, co tak wartko lŏtały wszyńdzie, zmiyszanyj wōni harbaty i kawy, co była takŏ ôdwdziyncznŏ dlŏ nosa, abo rozynek, mandli, cymtu, i inkszych rzŏdkich przipraw.
Zarzechotały zaraz ogromnie żaby w stawie ogrodowym, jak gdyby przestraszone, ale potem ucichły.	Zarzegotały zaroz festelnie żaby we zogrodowym stawie, choby przestraszōne, ale potym ucichły.
Zachwycająco!	Gyszefty!
Promieniejące słońce, jasne niebo, czyste powietrze, wesoły odgłos dzwonów!	Złote słōńce, modre niebo, słodki, świyży luft, ucieszne zwōny.
Janko, przyczajony w łopuchach, patrzył już od dawna przez otwarte szerokie drzwi na cel wszystkich swych pożądań.	Jōnek, prziczajōny w łopuchach, patrzoł już downo bez ôtwarte szyroke dźwiyrze na cyl wszyskich swojich pragniyń.
Kowalka Szymonowa, która była najmądrzejsza, poczęła chorą pocieszać:	Kowolka Szymōnowo, co była nojmōndrzyjszo, poczła pocieszać niymocno:
Nazajutrz powrócili państwo do dworu z Włoch wraz z panną i kawalerem, co się o nią starał.	Na drugi dziyń wrōciyli pōn i pani do dworu z Italije społym ze paniczkōm i kawalerym, co dō nij zolyciōł.
— Bądź zdrów! — mruknął Scrooge.	– Sztwierć – pedzioł Scrooge.
A jednak pożądał ich.	A jednak pragnōn ich.
Słabe światło przedostające się z zewnątrz padało prosto na łóżko, gdzie leżał trup tego ograbionego, zapomnianego, opuszczonego przez wszystkich człowieka.	Blade światło z placu padało prosto na łōżko, a na nim, rozszabrowane, ôbkradniynte, niywachowane, niyôpłakowane, nieôpatrowane, leżało ciało ôd tego czowieka.
Gdy nahasano się już do woli, rozpoczęła się gra w fanty, potem nastąpiły znowu tańce, potem rozdawano ciasta i lemoniadę, pieczyste na zimno, znowu ciasta i mnóstwo piwa.	Było jeszcze wiyncyj tańcōw, pauz, zaś tańcōw; była zista, kōmpot, miynso a mocka piwa.
Żadne ciepło nie mogło go ogrzać, żaden mróz więcej oziębić.	Żŏdnŏ ciepłość go niy grzoła, żŏdnŏ zima niy chłōdziyła.
— Przecież ty, Jakubie, byłeś zawsze pilnym i dobrym pracownikiem… — bąknął Scrooge, stosując te słowa do siebie — zawsze sumiennie chodziłeś około interesu…	– Aleś bōł dycki dobrym gyszefciŏrzym, Jakōbie – stynknōł Scrooge, co zaczōn terŏz widzieć sie we tym wszyjskim.
— Nieżywy od siedmiu lat — szeptał Scrooge — i przez cały ten czas w podróży!	– Siedym lŏt umarty – medykowoł Scrooge – i durch rajzujesz!
Weszły trzy panny Fezziwig, promieniejące i rozkoszne.	Weszła Fezziwigowŏ – jedyn srogi, fajny uśmiych.
Duch musiał odgadnąć jego myśli, gdyż odezwał się zaraz:	Mŏra musiała go usłyszeć medykować, bo zarŏz pedziała:
— Matulu?…	— Mamulko?…
— Czy to był sen czy rzeczywistość?	– Je dobrze abo źle? – spytała, coby mu pōmōc.
Bob Cratchit uroczyście oznajmił, że ma obiecane dla pana Piotra miejsce, które mu będzie przynosiło aż półszósta szylinga tygodniowo.	Bob Cratchit pedzioł, co podle niego to bōł nojwiynkszy sukces ôd Cratchitowyj ôd czasu jejich weselŏ.
Weszli.	Weszli.
— Wiem o tym, moi drodzy — ciągnął Bob — jak również i o tym, że pamiętając, jak on był dobry, kochający, cierpliwy i łagodny, chociaż tak mały, tak maleńki, nigdy żadna waśń nie wyniknie wśród nas, gdyż inaczej nie moglibyśmy o nim pamiętać.	– I jŏ wiym – pedzioł Bob – jŏ wiym, roztōmiyli, iże jak sie spōmnymy, jaki ôn bōł zetrwały i delikatny, chociŏż bōł ino małym, małym bajtlym, niy bydymy sie za wiela wadzić ze sobōm i zapōminać bez to małego Tima.
— Nic szczególnego — odrzekł Scrooge.	– Nic takigo – pedzioł Scrooge.
